Name,Type,Minimum,Maximum,Length,Direction
gene=rpoH,gene=rpoH,3599929,3600783,855,reverse
gene=livJ,gene=livJ,3598555,3599658,1104,reverse
gene=panM,gene=panM,3597984,3598367,384,forward
gene=livK,gene=livK,3596451,3597560,1110,reverse
gene=livH,gene=livH,3595477,3596403,927,reverse
gene=livM,gene=livM,3594203,3595480,1278,reverse
gene=livG,gene=livG,3593439,3594206,768,reverse
gene=livF,gene=livF,3592724,3593437,714,reverse
gene=ugpB,gene=ugpB,3591009,3592325,1317,reverse
gene=ugpA,gene=ugpA,3590024,3590911,888,reverse
gene=ugpE,gene=ugpE,3589182,3590027,846,reverse
gene=ugpC,gene=ugpC,3588110,3589180,1071,reverse
gene=ugpQ,gene=ugpQ,3587370,3588113,744,reverse
gene=yhhA,gene=yhhA,3586943,3587383,441,forward
gene=ggt,gene=ggt,3585081,3586823,1743,reverse
gene=yrhB,gene=yrhB,3584759,3585043,285,forward
gene=insB1,gene=insB1,3583677,3584180,504,forward
gene=insA,gene=insA,3583483,3583758,276,forward
gene=yhhZ,gene=yhhZ,3581863,3583041,1179,forward
gene=yhhY,gene=yhhY,3581138,3581626,489,forward
gene=yhhX,gene=yhhX,3579768,3580805,1038,reverse
gene=yhhW,gene=yhhW,3578950,3579645,696,reverse
gene=gntR,gene=gntR,3577731,3578726,996,reverse
gene=gntK,gene=gntK,3577065,3577592,528,reverse
gene=gntU,gene=gntU,3575721,3577061,1341,reverse
gene=yhgN,gene=yhgN,3575071,3575664,594,forward
gene=asd,gene=asd,3573775,3574878,1104,reverse
gene=glgB,gene=glgB,3571316,3573502,2187,reverse
gene=glgX,gene=glgX,3569346,3571319,1974,reverse
gene=glgC,gene=glgC,3568033,3569328,1296,reverse
gene=glgA,gene=glgA,3566600,3568033,1434,reverse
gene=glgP,gene=glgP,3564134,3566581,2448,reverse
gene=glpD,gene=glpD,3562013,3563518,1506,forward
gene=glpE,gene=glpE,3561497,3561823,327,reverse
gene=glpG,gene=glpG,3560622,3561452,831,reverse
gene=rtcR,gene=rtcR,3558268,3559866,1599,forward
gene=rtcB,gene=rtcB,3556853,3558079,1227,reverse
gene=rtcA,gene=rtcA,3555833,3556849,1017,reverse
gene=malT,gene=malT,3553085,3555790,2706,forward
gene=malP,gene=malP,3550080,3552473,2394,reverse
gene=malQ,gene=malQ,3547986,3550070,2085,reverse
gene=gntT,gene=gntT,3546559,3547875,1317,forward
gene=nfuA,gene=nfuA,3545624,3546199,576,forward
gene=gntX,gene=gntX,3544882,3545565,684,forward
gene=bioH,gene=bioH,3544074,3544844,771,reverse
gene=yhgA,gene=yhgA,3543167,3544045,879,forward
gene=feoC,gene=feoC,3542728,3542964,237,forward
gene=feoB,gene=feoB,3540407,3542728,2322,forward
gene=feoA,gene=feoA,3540163,3540390,228,forward
gene=yhgF,gene=yhgF,3537385,3539706,2322,forward
gene=greB,gene=greB,3536812,3537288,477,forward
gene=ompR,gene=ompR,3535865,3536584,720,reverse
gene=envZ,gene=envZ,3534516,3535868,1353,reverse
gene=pck,gene=pck,3532818,3534440,1623,forward
gene=yhgE,gene=yhgE,3530715,3532439,1725,reverse
gene=hslO,gene=hslO,3529774,3530652,879,forward
gene=hslR,gene=hslR,3529348,3529749,402,forward
gene=yrfG,gene=yrfG,3528669,3529337,669,forward
gene=yrfF,gene=yrfF,3526469,3528604,2136,forward
gene=nudE,gene=nudE,3525589,3526149,561,reverse
gene=mrcA,gene=mrcA,3522871,3525423,2553,forward
gene=hofM,gene=hofM,3521972,3522751,780,reverse
gene=hofN,gene=hofN,3521433,3521972,540,reverse
gene=hofO,gene=hofO,3521009,3521449,441,reverse
gene=hofP,gene=hofP,3520615,3521019,405,reverse
gene=hofQ,gene=hofQ,3519465,3520703,1239,reverse
gene=aroK,gene=aroK,3518543,3519064,522,reverse
gene=aroB,gene=aroB,3517398,3518486,1089,reverse
gene=damX,gene=damX,3516020,3517306,1287,reverse
gene=dam,gene=dam,3515077,3515913,837,reverse
gene=rpe,gene=rpe,3514382,3515059,678,reverse
gene=gph,gene=gph,3513631,3514389,759,reverse
gene=trpS,gene=trpS,3512634,3513638,1005,reverse
gene=yhfZ,gene=yhfZ,3511439,3512344,906,reverse
gene=yhfY,gene=yhfY,3511060,3511422,363,reverse
gene=yhfX,gene=yhfX,3509813,3510976,1164,reverse
gene=yhfW,gene=yhfW,3508587,3509813,1227,reverse
gene=php,gene=php,3507712,3508590,879,reverse
gene=yhfU,gene=yhfU,3507348,3507701,354,reverse
gene=yhfT,gene=yhfT,3506032,3507336,1305,reverse
gene=yhfS,gene=yhfS,3504935,3506020,1086,reverse
gene=frlR,gene=frlR,3504052,3504783,732,forward
gene=frlD,gene=frlD,3503167,3503952,786,forward
gene=frlC,gene=frlC,3502340,3503170,831,forward
gene=frlB,gene=frlB,3501268,3502290,1023,forward
gene=frlA,gene=frlA,3499910,3501247,1338,forward
gene=yhfL,gene=yhfL,3499448,3499615,168,forward
gene=cysG,gene=cysG,3497828,3499201,1374,forward
gene=nirC,gene=nirC,3497003,3497809,807,forward
gene=nirD,gene=nirD,3496551,3496877,327,forward
gene=nirB,gene=nirB,3494011,3496554,2544,forward
gene=tsgA,gene=tsgA,3492568,3493749,1182,forward
gene=ppiA,gene=ppiA,3491725,3492297,573,reverse
gene=yhfG,gene=yhfG,3491453,3491620,168,reverse
gene=fic,gene=fic,3490861,3491463,603,reverse
gene=pabA,gene=pabA,3490266,3490829,564,reverse
gene=argD,gene=argD,3488960,3490180,1221,reverse
gene=yhfK,gene=yhfK,3486791,3488893,2103,forward
gene=crp,gene=crp,3486120,3486752,633,forward
gene=yhfA,gene=yhfA,3485414,3485818,405,reverse
gene=prkB,gene=prkB,3484490,3485359,870,forward
gene=yheU,gene=yheU,3484218,3484436,219,forward
gene=yheT,gene=yheT,3483202,3484224,1023,forward
gene=yheS,gene=yheS,3481289,3483202,1914,forward
gene=kefG,gene=kefG,3480607,3481161,555,reverse
gene=kefB,gene=kefB,3478802,3480607,1806,reverse
gene=yheV,gene=yheV,3478592,3478792,201,reverse
gene=slyD,gene=slyD,3477907,3478497,591,reverse
gene=slyX,gene=slyX,3477640,3477858,219,forward
gene=fkpA,gene=fkpA,3476607,3477419,813,reverse
gene=yheO,gene=yheO,3475718,3476440,723,reverse
gene=tusD,gene=tusD,3475332,3475718,387,reverse
gene=tusC,gene=tusC,3474973,3475332,360,reverse
gene=tusB,gene=tusB,3474678,3474965,288,reverse
gene=rpsL,gene=rpsL,3474178,3474552,375,reverse
gene=rpsG,gene=rpsG,3473542,3474081,540,reverse
gene=fusA,gene=fusA,3471400,3473514,2115,reverse
gene=tufA,gene=tufA,3470145,3471329,1185,reverse
gene=chiA,gene=chiA,3467160,3469853,2694,reverse
gene=bfd,gene=bfd,3466797,3466991,195,reverse
gene=bfr,gene=bfr,3466249,3466725,477,reverse
gene=gspO,gene=gspO,3465543,3466220,678,forward
gene=gspM,gene=gspM,3465082,3465543,462,forward
gene=gspL,gene=gspL,3463922,3465085,1164,forward
gene=gspK,gene=gspK,3462924,3463907,984,forward
gene=gspJ,gene=gspJ,3462344,3462931,588,forward
gene=gspI,gene=gspI,3461974,3462351,378,forward
gene=gspH,gene=gspH,3461468,3461977,510,forward
gene=gspG,gene=gspG,3461023,3461460,438,forward
gene=gspF,gene=gspF,3459817,3461013,1197,forward
gene=gspE,gene=gspE,3458339,3459820,1482,forward
gene=gspD,gene=gspD,3456377,3458329,1953,forward
gene=gspC,gene=gspC,3455578,3456393,816,forward
gene=gspA,gene=gspA,3453929,3455398,1470,reverse
gene=gspB,gene=gspB,3453508,3453927,420,reverse
gene=rpsJ,gene=rpsJ,3452959,3453270,312,reverse
gene=rplC,gene=rplC,3452297,3452926,630,reverse
gene=rplD,gene=rplD,3451681,3452286,606,reverse
gene=rplW,gene=rplW,3451382,3451684,303,reverse
gene=rplB,gene=rplB,3450543,3451364,822,reverse
gene=rpsS,gene=rpsS,3450248,3450526,279,reverse
gene=rplV,gene=rplV,3449901,3450233,333,reverse
gene=rpsC,gene=rpsC,3449182,3449883,702,reverse
gene=rplP,gene=rplP,3448759,3449169,411,reverse
gene=rpmC,gene=rpmC,3448568,3448759,192,reverse
gene=rpsQ,gene=rpsQ,3448314,3448568,255,reverse
gene=rplN,gene=rplN,3447778,3448149,372,reverse
gene=rplX,gene=rplX,3447453,3447767,315,reverse
gene=rplE,gene=rplE,3446899,3447438,540,reverse
gene=rpsN,gene=rpsN,3446579,3446884,306,reverse
gene=rpsH,gene=rpsH,3446153,3446545,393,reverse
gene=rplF,gene=rplF,3445607,3446140,534,reverse
gene=rplR,gene=rplR,3445244,3445597,354,reverse
gene=rpsE,gene=rpsE,3444726,3445229,504,reverse
gene=rpmD,gene=rpmD,3444543,3444722,180,reverse
gene=rplO,gene=rplO,3444105,3444539,435,reverse
gene=secY,gene=secY,3442766,3444097,1332,reverse
gene=rpmJ,gene=rpmJ,3442618,3442734,117,reverse
gene=rpsM,gene=rpsM,3442115,3442471,357,reverse
gene=rpsK,gene=rpsK,3441709,3442098,390,reverse
gene=rpsD,gene=rpsD,3441055,3441675,621,reverse
gene=rpoA,gene=rpoA,3440040,3441029,990,reverse
gene=rplQ,gene=rplQ,3439616,3439999,384,reverse
gene=yhdN,gene=yhdN,3439141,3439509,369,reverse
gene=zntR,gene=zntR,3438705,3439130,426,reverse
gene=arfA,gene=arfA,3438431,3438649,219,reverse
gene=mscL,gene=mscL,3438024,3438434,411,forward
gene=trkA,gene=trkA,3436518,3437894,1377,forward
gene=rsmB,gene=rsmB,3435207,3436496,1290,forward
gene=fmt,gene=fmt,3434214,3435161,948,forward
gene=def,gene=def,3433690,3434199,510,forward
gene=smf,gene=smf,3432436,3433560,1125,reverse
gene=smg,gene=smg,3431991,3432464,474,reverse
gene=yrdD,gene=yrdD,3431420,3431962,543,reverse
gene=tsaC,gene=tsaC,3430843,3431415,573,reverse
gene=aroE,gene=aroE,3430020,3430838,819,reverse
gene=yrdB,gene=yrdB,3429766,3430023,258,reverse
gene=yrdA,gene=yrdA,3429236,3429790,555,forward
gene=yhdZ,gene=yhdZ,3422436,3423194,759,forward
gene=yhdY,gene=yhdY,3421325,3422428,1104,forward
gene=yhdX,gene=yhdX,3420134,3421315,1182,forward
gene=yhdV,gene=yhdV,3418390,3418611,222,forward
gene=acrF,gene=acrF,3415033,3418137,3105,forward
gene=acrE,gene=acrE,3413864,3415021,1158,forward
gene=acrS,gene=acrS,3412803,3413465,663,reverse
gene=yhdU,gene=yhdU,3412621,3412800,180,forward
gene=yhdJ,gene=yhdJ,3411653,3412537,885,forward
gene=fis,gene=fis,3411271,3411567,297,forward
gene=dusB,gene=dusB,3410280,3411245,966,forward
gene=prmA,gene=prmA,3409070,3409951,882,forward
gene=panF,gene=panF,3407607,3409058,1452,forward
gene=yhdT,gene=yhdT,3407375,3407617,243,forward
gene=accC,gene=accC,3405917,3407266,1350,forward
gene=accB,gene=accB,3405436,3405906,471,forward
gene=acuI,gene=acuI,3403484,3404458,975,forward
gene=csrD,gene=csrD,3401392,3403332,1941,reverse
gene=mreB,gene=mreB,3400044,3401087,1044,reverse
gene=mreC,gene=mreC,3398875,3399978,1104,reverse
gene=mreD,gene=mreD,3398387,3398875,489,reverse
gene=yhdE,gene=yhdE,3397785,3398378,594,reverse
gene=rng,gene=rng,3396326,3397795,1470,reverse
gene=yhdP,gene=yhdP,3392458,3396258,3801,reverse
gene=tldD,gene=tldD,3390583,3392028,1446,reverse
gene=aaeR,gene=aaeR,3389520,3390449,930,forward
gene=aaeX,gene=aaeX,3389134,3389337,204,reverse
gene=aaeA,gene=aaeA,3388194,3389126,933,reverse
gene=aaeB,gene=aaeB,3386221,3388188,1968,reverse
gene=yhcO,gene=yhcO,3385857,3386129,273,reverse
gene=yhcN,gene=yhcN,3385538,3385801,264,forward
gene=argR,gene=argR,3384703,3385173,471,forward
gene=mdh,gene=mdh,3383330,3384268,939,reverse
gene=degS,gene=degS,3382200,3383267,1068,forward
gene=degQ,gene=degQ,3380743,3382110,1368,forward
gene=yhcB,gene=yhcB,3380191,3380589,399,forward
gene=zapE,gene=zapE,3378870,3379997,1128,reverse
gene=rplM,gene=rplM,3378223,3378651,429,reverse
gene=rpsI,gene=rpsI,3377815,3378207,393,reverse
gene=sspA,gene=sspA,3376782,3377420,639,reverse
gene=sspB,gene=sspB,3376279,3376776,498,reverse
gene=dcuD,gene=dcuD,3374869,3376236,1368,forward
gene=nanR,gene=nanR,3373698,3374489,792,reverse
gene=nanA,gene=nanA,3372683,3373576,894,reverse
gene=nanT,gene=nanT,3371084,3372574,1491,reverse
gene=nanE,gene=nanE,3370347,3371036,690,reverse
gene=nanK,gene=nanK,3369475,3370350,876,reverse
gene=yhcH,gene=yhcH,3369014,3369478,465,reverse
gene=yhcG,gene=yhcG,3367827,3368954,1128,forward
gene=yhcF,gene=yhcF,3366926,3367642,717,forward
gene=insH1,gene=insH1,3365702,3366718,1017,reverse
gene=yhcD,gene=yhcD,3362807,3365188,2382,forward
gene=yhcA,gene=yhcA,3362112,3362786,675,forward
gene=gltF,gene=gltF,3361176,3361940,765,forward
gene=gltD,gene=gltD,3359198,3360616,1419,forward
gene=gltB,gene=gltB,3354725,3359185,4461,forward
gene=yhcC,gene=yhcC,3353121,3354050,930,reverse
gene=arcB,gene=arcB,3350689,3353025,2337,reverse
gene=elbB,gene=elbB,3349806,3350459,654,reverse
gene=mtgA,gene=mtgA,3349081,3349809,729,reverse
gene=yrbL,gene=yrbL,3348452,3349084,633,forward
gene=npr,gene=npr,3347966,3348238,273,forward
gene=yhbJ,gene=yhbJ,3347115,3347969,855,forward
gene=ptsN,gene=ptsN,3346578,3347069,492,forward
gene=hpf,gene=hpf,3346173,3346460,288,forward
gene=rpoN,gene=rpoN,3344717,3346150,1434,forward
gene=lptB,gene=lptB,3343944,3344669,726,forward
gene=lptA,gene=lptA,3343380,3343937,558,forward
gene=lptC,gene=lptC,3342836,3343411,576,forward
gene=kdsC,gene=kdsC,3342273,3342839,567,forward
gene=kdsD,gene=kdsD,3341266,3342252,987,forward
gene=yrbG,gene=yrbG,3340275,3341252,978,forward
gene=mlaF,gene=mlaF,3339256,3340065,810,reverse
gene=mlaE,gene=mlaE,3338466,3339248,783,reverse
gene=mlaD,gene=mlaD,3337910,3338461,552,reverse
gene=mlaC,gene=mlaC,3337256,3337891,636,reverse
gene=mlaB,gene=mlaB,3336963,3337256,294,reverse
gene=ibaG,gene=ibaG,3336549,3336803,255,reverse
gene=murA,gene=murA,3335235,3336494,1260,reverse
gene=sfsB,gene=sfsB,3334909,3335187,279,forward
gene=ispB,gene=ispB,3333710,3334681,972,forward
gene=rplU,gene=rplU,3333140,3333451,312,reverse
gene=rpmA,gene=rpmA,3332862,3333119,258,reverse
gene=yhbE,gene=yhbE,3331770,3332735,966,reverse
gene=obgE,gene=obgE,3330582,3331754,1173,reverse
gene=dacB,gene=dacB,3328963,3330396,1434,forward
gene=greA,gene=greA,3328239,3328715,477,reverse
gene=yhbY,gene=yhbY,3327790,3328083,294,forward
gene=rlmE,gene=rlmE,3327035,3327664,630,reverse
gene=ftsH,gene=ftsH,3325001,3326935,1935,reverse
gene=folP,gene=folP,3324063,3324911,849,reverse
gene=glmM,gene=glmM,3322733,3324070,1338,reverse
gene=secG,gene=secG,3322173,3322505,333,reverse
gene=yhbX,gene=yhbX,3319988,3321613,1626,reverse
gene=argG,gene=argG,3318637,3319980,1344,forward
gene=rimP,gene=rimP,3317554,3318006,453,reverse
gene=nusA,gene=nusA,3316039,3317526,1488,reverse
gene=infB,gene=infB,3313342,3316014,2673,reverse
gene=rbfA,gene=rbfA,3312777,3313178,402,reverse
gene=truB,gene=truB,3311833,3312777,945,reverse
gene=rpsO,gene=rpsO,3311415,3311684,270,reverse
gene=pnp,gene=pnp,3309033,3311168,2136,reverse
gene=nlpI,gene=nlpI,3308040,3308924,885,reverse
gene=yrbN,gene=yrbN,3307853,3307933,81,reverse
gene=deaD,gene=deaD,3305971,3307860,1890,reverse
gene=mtr,gene=mtr,3304573,3305817,1245,reverse
gene=yhbW,gene=yhbW,3303448,3304455,1008,forward
gene=yhbV,gene=yhbV,3302489,3303367,879,forward
gene=yhbU,gene=yhbU,3301485,3302480,996,forward
gene=yhbT,gene=yhbT,3300752,3301276,525,reverse
gene=yhbS,gene=yhbS,3300255,3300758,504,reverse
gene=yhbQ,gene=yhbQ,3299966,3300268,303,forward
gene=yhbP,gene=yhbP,3299472,3299915,444,reverse
gene=yhbO,gene=yhbO,3298974,3299492,519,forward
gene=yraR,gene=yraR,3298211,3298846,636,reverse
gene=yraQ,gene=yraQ,3297098,3298138,1041,reverse
gene=yraP,gene=yraP,3296409,3296984,576,forward
gene=diaA,gene=diaA,3295809,3296399,591,forward
gene=yraN,gene=yraN,3295394,3295789,396,forward
gene=lpoA,gene=lpoA,3293400,3295436,2037,forward
gene=rsmI,gene=rsmI,3292475,3293335,861,reverse
gene=yraK,gene=yraK,3291341,3292432,1092,forward
gene=yraJ,gene=yraJ,3288814,3291330,2517,forward
gene=yraI,gene=yraI,3288090,3288785,696,forward
gene=yraH,gene=yraH,3287426,3288010,585,forward
gene=agaI,gene=agaI,3286270,3287025,756,forward
gene=agaD,gene=agaD,3285478,3286269,792,forward
gene=agaC,gene=agaC,3284685,3285488,804,forward
gene=agaB,gene=agaB,3284170,3284646,477,forward
gene=kbaY,gene=kbaY,3283143,3284003,861,forward
gene=agaS,gene=agaS,3281976,3283130,1155,forward
gene=agaV,gene=agaV,3280217,3280690,474,forward
gene=kbaZ,gene=kbaZ,3278914,3280194,1281,forward
gene=agaR,gene=agaR,3277856,3278665,810,reverse
gene=yhaV,gene=yhaV,3277337,3277801,465,forward
gene=prlF,gene=prlF,3277002,3277337,336,forward
gene=garD,gene=garD,3275282,3276853,1572,forward
gene=garP,gene=garP,3273573,3274907,1335,reverse
gene=garL,gene=garL,3272787,3273557,771,reverse
gene=garR,gene=garR,3271867,3272751,885,reverse
gene=garK,gene=garK,3270625,3271770,1146,reverse
gene=yhaC,gene=yhaC,3268415,3269602,1188,forward
gene=yhaB,gene=yhaB,3267854,3268393,540,forward
gene=tdcR,gene=tdcR,3267380,3267598,219,forward
gene=tdcA,gene=tdcA,3266127,3267065,939,reverse
gene=tdcB,gene=tdcB,3265039,3266028,990,reverse
gene=tdcC,gene=tdcC,3263686,3265017,1332,reverse
gene=tdcD,gene=tdcD,3262452,3263660,1209,reverse
gene=tdcE,gene=tdcE,3260124,3262418,2295,reverse
gene=tdcF,gene=tdcF,3259721,3260110,390,reverse
gene=tdcG,gene=tdcG,3258285,3259649,1365,reverse
gene=yhaO,gene=yhaO,3256679,3258010,1332,reverse
gene=yhaM,gene=yhaM,3255341,3256651,1311,reverse
gene=yhaL,gene=yhaL,3255043,3255207,165,forward
gene=yhaK,gene=yhaK,3254319,3255020,702,forward
gene=yhaJ,gene=yhaJ,3253318,3254214,897,reverse
gene=yhaI,gene=yhaI,3252911,3253267,357,forward
gene=yhaH,gene=yhaH,3252304,3252669,366,forward
gene=yqjG,gene=yqjG,3251024,3252010,987,forward
gene=yqjF,gene=yqjF,3250562,3250954,393,forward
gene=yqjK,gene=yqjK,3250077,3250376,300,forward
gene=yqjE,gene=yqjE,3249683,3250087,405,forward
gene=yqjD,gene=yqjD,3249375,3249680,306,forward
gene=yqjC,gene=yqjC,3248969,3249337,369,forward
gene=mzrA,gene=mzrA,3248439,3248822,384,forward
gene=yqjA,gene=yqjA,3247773,3248435,663,forward
gene=exuR,gene=exuR,3246652,3247428,777,forward
gene=exuT,gene=exuT,3245224,3246522,1299,forward
gene=uxaC,gene=uxaC,3243329,3244741,1413,reverse
gene=uxaA,gene=uxaA,3241827,3243314,1488,reverse
gene=ygjV,gene=ygjV,3241193,3241744,552,reverse
gene=sstT,gene=sstT,3239944,3241188,1245,forward
gene=alx,gene=alx,3238580,3239545,966,forward
gene=ygjR,gene=ygjR,3237311,3238297,987,forward
gene=ygjQ,gene=ygjQ,3236540,3237232,693,forward
gene=ygjP,gene=ygjP,3235960,3236463,504,forward
gene=rlmG,gene=rlmG,3234739,3235875,1137,reverse
gene=higB,gene=higB,3234141,3234455,315,reverse
gene=higA,gene=higA,3233728,3234144,417,reverse
gene=fadH,gene=fadH,3231665,3233683,2019,forward
gene=ygjK,gene=ygjK,3228888,3231239,2352,forward
gene=ygjJ,gene=ygjJ,3227801,3228871,1071,forward
gene=ygjI,gene=ygjI,3226234,3227667,1434,forward
gene=ebgC,gene=ebgC,3225722,3226171,450,forward
gene=ebgA,gene=ebgA,3222633,3225725,3093,forward
gene=ebgR,gene=ebgR,3221466,3222449,984,forward
gene=ygjH,gene=ygjH,3220915,3221247,333,reverse
gene=patA,gene=patA,3219494,3220873,1380,forward
gene=aer,gene=aer,3217556,3219076,1521,reverse
gene=yqjI,gene=yqjI,3216779,3217402,624,forward
gene=yqjH,gene=yqjH,3215727,3216491,765,reverse
gene=mug,gene=mug,3214967,3215473,507,reverse
gene=rpoD,gene=rpoD,3213047,3214888,1842,forward
gene=dnaG,gene=dnaG,3211107,3212852,1746,forward
gene=rpsU,gene=rpsU,3210781,3210996,216,forward
gene=tsaD,gene=tsaD,3209530,3210543,1014,reverse
gene=ttdT,gene=ttdT,3208024,3209487,1464,forward
gene=ttdB,gene=ttdB,3207371,3207976,606,forward
gene=ttdA,gene=ttdA,3206463,3207374,912,forward
gene=ttdR,gene=ttdR,3205324,3206256,933,reverse
gene=plsY,gene=plsY,3204694,3205311,618,forward
gene=folB,gene=folB,3204221,3204589,369,reverse
gene=bacA,gene=bacA,3203310,3204131,822,reverse
gene=cca,gene=cca,3201891,3203129,1239,forward
gene=ygiM,gene=ygiM,3201207,3201827,621,forward
gene=ygiF,gene=ygiF,3199664,3200965,1302,reverse
gene=glnE,gene=glnE,3196801,3199641,2841,reverse
gene=hldE,gene=hldE,3195320,3196753,1434,reverse
gene=ibsE,gene=ibsE,3195141,3195200,60,forward
gene=ibsD,gene=ibsD,3194766,3194825,60,forward
gene=yqiK,gene=yqiK,3192864,3194525,1662,forward
gene=yqiJ,gene=yqiJ,3192208,3192837,630,forward
gene=glgS,gene=glgS,3191739,3191939,201,reverse
gene=yqiI,gene=yqiI,3190632,3191696,1065,forward
gene=yqiH,gene=yqiH,3189881,3190630,750,forward
gene=insD1,gene=insD1,3186510,3187415,906,forward
gene=insC1,gene=insC1,3186187,3186552,366,forward
gene=ygiL,gene=ygiL,3185414,3185965,552,forward
gene=yqiC,gene=yqiC,3184840,3185130,291,forward
gene=ribB,gene=ribB,3183813,3184466,654,reverse
gene=zupT,gene=zupT,3182550,3183323,774,forward
gene=ygiD,gene=ygiD,3181619,3182407,789,reverse
gene=ygiC,gene=ygiC,3180421,3181581,1161,forward
gene=ygiB,gene=ygiB,3179744,3180415,672,forward
gene=tolC,gene=tolC,3178115,3179596,1482,forward
gene=nudF,gene=nudF,3177281,3177910,630,reverse
gene=yqiB,gene=yqiB,3176858,3177280,423,reverse
gene=cpdA,gene=cpdA,3176006,3176833,828,reverse
gene=yqiA,gene=yqiA,3175425,3176006,582,reverse
gene=parE,gene=parE,3173504,3175396,1893,reverse
gene=ygiN,gene=ygiN,3173142,3173456,315,forward
gene=mdaB,gene=mdaB,3172530,3173111,582,forward
gene=ygiZ,gene=ygiZ,3171879,3172211,333,reverse
gene=qseC,gene=qseC,3170484,3171833,1350,forward
gene=qseB,gene=qseB,3169828,3170487,660,forward
gene=ygiW,gene=ygiW,3169284,3169676,393,reverse
gene=ygiV,gene=ygiV,3168749,3169231,483,reverse
gene=mqsR,gene=mqsR,3168248,3168544,297,reverse
gene=mqsA,gene=mqsA,3167851,3168246,396,reverse
gene=ygiS,gene=ygiS,3166111,3167718,1608,reverse
gene=parC,gene=parC,3163715,3165973,2259,reverse
gene=plsC,gene=plsC,3162744,3163481,738,reverse
gene=ftsP,gene=ftsP,3161257,3162669,1413,reverse
gene=ygiQ,gene=ygiQ,3158927,3161146,2220,reverse
gene=yqhH,gene=yqhH,3158627,3158884,258,forward
gene=yqhG,gene=yqhG,3157650,3158576,927,forward
gene=dkgA,gene=dkgA,3156623,3157450,828,forward
gene=yqhD,gene=yqhD,3155355,3156518,1164,forward
gene=yqhC,gene=yqhC,3154262,3155218,957,reverse
gene=yghB,gene=yghB,3153563,3154222,660,forward
gene=metC,gene=metC,3152236,3153423,1188,forward
gene=exbB,gene=exbB,3151250,3151984,735,reverse
gene=exbD,gene=exbD,3150818,3151243,426,reverse
gene=yghA,gene=yghA,3149662,3150546,885,forward
gene=yqhA,gene=yqhA,3148977,3149471,495,reverse
gene=gpr,gene=gpr,3147897,3148937,1041,forward
gene=yghW,gene=yghW,3146450,3146737,288,reverse
gene=hybO,gene=hybO,3145143,3146261,1119,reverse
gene=hybA,gene=hybA,3144154,3145140,987,reverse
gene=hybB,gene=hybB,3142986,3144164,1179,reverse
gene=hybC,gene=hybC,3141286,3142989,1704,reverse
gene=hybD,gene=hybD,3140792,3141286,495,reverse
gene=hybE,gene=hybE,3140311,3140799,489,reverse
gene=hybF,gene=hybF,3139977,3140318,342,reverse
gene=hybG,gene=hybG,3139716,3139964,249,reverse
gene=yghU,gene=yghU,3138727,3139593,867,forward
gene=gss,gene=gss,3136663,3138522,1860,reverse
gene=pitB,gene=pitB,3134872,3136371,1500,reverse
gene=yghT,gene=yghT,3134131,3134823,693,forward
gene=yghS,gene=yghS,3133244,3133957,714,reverse
gene=yghR,gene=yghR,3132454,3133212,759,reverse
gene=yghQ,gene=yghQ,3131341,3132408,1068,reverse
gene=insH1,gene=insH1,3130178,3131194,1017,forward
gene=glcC,gene=glcC,3128272,3129036,765,forward
gene=glcD,gene=glcD,3126522,3128021,1500,reverse
gene=glcE,gene=glcE,3125470,3126522,1053,reverse
gene=glcF,gene=glcF,3124236,3125459,1224,reverse
gene=glcG,gene=glcG,3123827,3124231,405,reverse
gene=glcB,gene=glcB,3121634,3123805,2172,reverse
gene=glcA,gene=glcA,3119597,3121279,1683,reverse
gene=sslE,gene=sslE,3114550,3119112,4563,reverse
gene=pppA,gene=pppA,3113543,3114352,810,reverse
gene=yghG,gene=yghG,3113067,3113477,411,reverse
gene=yghD,gene=yghD,3110590,3111126,537,reverse
gene=yqgA,gene=yqgA,3109553,3110260,708,forward
gene=speC,gene=speC,3107020,3109155,2136,reverse
gene=nupG,gene=nupG,3105714,3106970,1257,forward
gene=mltC,gene=mltC,3104433,3105512,1080,forward
gene=yggX,gene=yggX,3104093,3104368,276,forward
gene=mutY,gene=mutY,3103013,3104065,1053,forward
gene=trmI,gene=trmI,3102133,3102852,720,reverse
gene=yggL,gene=yggL,3101807,3102133,327,reverse
gene=yggN,gene=yggN,3100904,3101623,720,reverse
gene=ansB,gene=ansB,3099682,3100728,1047,reverse
gene=yggM,gene=yggM,3098558,3099565,1008,reverse
gene=yggW,gene=yggW,3097267,3098403,1137,forward
gene=rdgB,gene=rdgB,3096681,3097274,594,forward
gene=yggU,gene=yggU,3096383,3096673,291,forward
gene=yggT,gene=yggT,3095820,3096386,567,forward
gene=yggS,gene=yggS,3095098,3095802,705,forward
gene=yggR,gene=yggR,3094100,3095080,981,reverse
gene=yqgF,gene=yqgF,3093500,3093916,417,forward
gene=yqgE,gene=yqgE,3092937,3093500,564,forward
gene=gshB,gene=gshB,3091878,3092828,951,forward
gene=rsmE,gene=rsmE,3091134,3091865,732,forward
gene=endA,gene=endA,3090347,3091054,708,forward
gene=yggI,gene=yggI,3089755,3090252,498,forward
gene=galP,gene=galP,3088284,3089678,1395,forward
gene=metK,gene=metK,3086706,3087860,1155,forward
gene=yqgC,gene=yqgC,3086187,3086402,216,forward
